GEOID,NAME,Total_Population,Median_Household_Income,Poverty_Count,Poverty_Rate,Total_Housing_Units_Calc,Occupied_Housing_Units,Vacant_Housing_Units,Vacancy_Rate,tract,year
56021001502,"Census Tract 15.02, Laramie County, Wyoming",5083.0,47335.0,783.0,0.15404288805823332,2611.0,2305.0,306.0,0.1171964764458062,001502,2019
56021000300,"Census Tract 3, Laramie County, Wyoming",4069.0,69470.0,617.0,0.15163430818382895,1536.0,1432.0,104.0,0.06770833333333333,000300,2019
56021000401,"Census Tract 4.01, Laramie County, Wyoming",5271.0,57228.0,713.0,0.13526845000948587,2045.0,1815.0,230.0,0.11246943765281174,000401,2019
56021001501,"Census Tract 15.01, Laramie County, Wyoming",5517.0,68798.0,288.0,0.052202283849918436,2416.0,2247.0,169.0,0.06995033112582781,001501,2019
56021000200,"Census Tract 2, Laramie County, Wyoming",4791.0,43532.0,1130.0,0.23585890210811938,2323.0,2081.0,242.0,0.10417563495479983,000200,2019
56021000900,"Census Tract 9, Laramie County, Wyoming",2759.0,75268.0,202.0,0.07321493294671982,1475.0,1334.0,141.0,0.09559322033898306,000900,2019
56021000501,"Census Tract 5.01, Laramie County, Wyoming",8092.0,79224.0,486.0,0.06005931784478497,3209.0,2996.0,213.0,0.0663758180118417,000501,2019
56021001401,"Census Tract 14.01, Laramie County, Wyoming",4105.0,73795.0,287.0,0.06991473812423873,1718.0,1589.0,129.0,0.07508731082654249,001401,2019
56021001402,"Census Tract 14.02, Laramie County, Wyoming",2671.0,65192.0,206.0,0.07712467240733807,1138.0,1052.0,86.0,0.07557117750439367,001402,2019
56021001901,"Census Tract 19.01, Laramie County, Wyoming",5088.0,98949.0,222.0,0.04363207547169811,2005.0,1932.0,73.0,0.03640897755610972,001901,2019
56021001902,"Census Tract 19.02, Laramie County, Wyoming",4187.0,87794.0,245.0,0.05851444948650585,1963.0,1658.0,305.0,0.1553744268976057,001902,2019
56021980801,"Census Tract 9808.01, Laramie County, Wyoming",0.0,,0.0,,0.0,0.0,0.0,,980801,2019
56021000200,"Census Tract 2, Laramie County, Wyoming",4718.0,44012.0,997.0,0.21131835523526918,2235.0,2004.0,231.0,0.10335570469798658,000200,2020
56021000300,"Census Tract 3, Laramie County, Wyoming",4238.0,76136.0,539.0,0.12718263331760266,1593.0,1474.0,119.0,0.07470182046453233,000300,2020
56021000401,"Census Tract 4.01, Laramie County, Wyoming",4936.0,58393.0,851.0,0.1724068071312804,2111.0,1857.0,254.0,0.12032212221695879,000401,2020
56021000403,"Census Tract 4.03, Laramie County, Wyoming",4177.0,47507.0,633.0,0.15154417045726598,1572.0,1437.0,135.0,0.08587786259541985,000403,2020
56021000404,"Census Tract 4.04, Laramie County, Wyoming",2097.0,39755.0,252.0,0.12017167381974249,1124.0,1018.0,106.0,0.09430604982206406,000404,2020
